caminho_lockfile,pacote,versao,dependencia_direta,grupo_direto,dev,devOptional,optional,hasInstallScript
node_modules/@esbuild/linux-x64,@esbuild/linux-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/netbsd-arm64,@esbuild/netbsd-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/netbsd-x64,@esbuild/netbsd-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/openbsd-arm64,@esbuild/openbsd-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/openbsd-x64,@esbuild/openbsd-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/openharmony-arm64,@esbuild/openharmony-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/sunos-x64,@esbuild/sunos-x64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/win32-arm64,@esbuild/win32-arm64,0.28.2,False,,False,False,True,False
node_modules/@esbuild/win32-ia32,@esbuild/win32-ia32,0.28.2,False,,False,False,True,False
node_modules/@esbuild/win32-x64,@esbuild/win32-x64,0.28.2,False,,False,False,True,False
node_modules/@eslint-community/eslint-utils,@eslint-community/eslint-utils,4.10.1,False,,True,False,False,False
node_modules/@eslint-community/eslint-utils/node_modules/eslint-visitor-keys,eslint-visitor-keys,3.4.3,False,,True,False,False,False
node_modules/@eslint-community/regexpp,@eslint-community/regexpp,4.12.2,False,,True,False,False,False
node_modules/@eslint/config-array,@eslint/config-array,0.21.2,False,,True,False,False,False
node_modules/@eslint/config-helpers,@eslint/config-helpers,0.4.2,False,,True,False,False,False
node_modules/@eslint/core,@eslint/core,0.17.0,False,,True,False,False,False
node_modules/@eslint/eslintrc,@eslint/eslintrc,3.3.7,True,devDependencies,True,False,False,False
node_modules/@eslint/js,@eslint/js,9.39.5,False,,True,False,False,False
node_modules/@eslint/object-schema,@eslint/object-schema,2.1.7,False,,True,False,False,False
node_modules/@eslint/plugin-kit,@eslint/plugin-kit,0.4.1,False,,True,False,False,False
node_modules/@fast-csv/format,@fast-csv/format,4.3.5,False,,False,False,False,False
node_modules/@fast-csv/format/node_modules/@types/node,@types/node,14.18.63,False,,False,False,False,False
node_modules/@fast-csv/parse,@fast-csv/parse,4.3.6,False,,False,False,False,False
node_modules/@fast-csv/parse/node_modules/@types/node,@types/node,14.18.63,False,,False,False,False,False
node_modules/@humanfs/core,@humanfs/core,0.19.2,False,,True,False,False,False
node_modules/@humanfs/node,@humanfs/node,0.16.8,False,,True,False,False,False
node_modules/@humanfs/types,@humanfs/types,0.15.0,False,,True,False,False,False
node_modules/@humanwhocodes/module-importer,@humanwhocodes/module-importer,1.0.1,False,,True,False,False,False
node_modules/@humanwhocodes/retry,@humanwhocodes/retry,0.4.3,False,,True,False,False,False
node_modules/@img/colour,@img/colour,1.1.0,False,,False,False,False,False
node_modules/@img/sharp-darwin-arm64,@img/sharp-darwin-arm64,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-darwin-x64,@img/sharp-darwin-x64,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-freebsd-wasm32,@img/sharp-freebsd-wasm32,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-libvips-darwin-arm64,@img/sharp-libvips-darwin-arm64,1.3.3,False,,False,False,True,False
node_modules/@img/sharp-libvips-darwin-x64,@img/sharp-libvips-darwin-x64,1.3.3,False,,False,False,True,False
node_modules/@img/sharp-libvips-linux-arm,@img/sharp-libvips-linux-arm,1.3.3,False,,False,False,True,False
node_modules/@img/sharp-libvips-linux-arm64,@img/sharp-libvips-linux-arm64,1.3.3,False,,False,False,True,False
node_modules/@img/sharp-libvips-linux-ppc64,@img/sharp-libvips-linux-ppc64,1.3.3,False,,False,False,True,False
node_modules/@img/sharp-libvips-linux-riscv64,@img/sharp-libvips-linux-riscv64,1.3.3,False,,False,False,True,False
node_modules/@img/sharp-libvips-linux-s390x,@img/sharp-libvips-linux-s390x,1.3.3,False,,False,False,True,False
node_modules/@img/sharp-libvips-linux-x64,@img/sharp-libvips-linux-x64,1.3.3,False,,False,False,True,False
node_modules/@img/sharp-libvips-linuxmusl-arm64,@img/sharp-libvips-linuxmusl-arm64,1.3.3,False,,False,False,True,False
node_modules/@img/sharp-libvips-linuxmusl-x64,@img/sharp-libvips-linuxmusl-x64,1.3.3,False,,False,False,True,False
node_modules/@img/sharp-linux-arm,@img/sharp-linux-arm,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-linux-arm64,@img/sharp-linux-arm64,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-linux-ppc64,@img/sharp-linux-ppc64,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-linux-riscv64,@img/sharp-linux-riscv64,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-linux-s390x,@img/sharp-linux-s390x,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-linux-x64,@img/sharp-linux-x64,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-linuxmusl-arm64,@img/sharp-linuxmusl-arm64,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-linuxmusl-x64,@img/sharp-linuxmusl-x64,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-wasm32,@img/sharp-wasm32,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-webcontainers-wasm32,@img/sharp-webcontainers-wasm32,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-win32-arm64,@img/sharp-win32-arm64,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-win32-ia32,@img/sharp-win32-ia32,0.35.4,False,,False,False,True,False
node_modules/@img/sharp-win32-x64,@img/sharp-win32-x64,0.35.4,False,,False,False,True,False
node_modules/@jridgewell/gen-mapping,@jridgewell/gen-mapping,0.3.13,False,,False,False,False,False
node_modules/@jridgewell/remapping,@jridgewell/remapping,2.3.5,False,,True,False,False,False
node_modules/@jridgewell/resolve-uri,@jridgewell/resolve-uri,3.1.2,False,,False,False,False,False
node_modules/@jridgewell/sourcemap-codec,@jridgewell/sourcemap-codec,1.6.0,False,,False,False,False,False
node_modules/@jridgewell/trace-mapping,@jridgewell/trace-mapping,0.3.31,False,,False,False,False,False
node_modules/@napi-rs/wasm-runtime,@napi-rs/wasm-runtime,1.2.3,False,,True,False,True,False
node_modules/@next/env,@next/env,15.5.25,False,,False,False,False,False
node_modules/@next/eslint-plugin-next,@next/eslint-plugin-next,15.5.25,False,,True,False,False,False
node_modules/@next/swc-darwin-arm64,@next/swc-darwin-arm64,15.5.25,False,,False,False,True,False
node_modules/@next/swc-darwin-x64,@next/swc-darwin-x64,15.5.25,False,,False,False,True,False
node_modules/@next/swc-linux-arm64-gnu,@next/swc-linux-arm64-gnu,15.5.25,False,,False,False,True,False
node_modules/@next/swc-linux-arm64-musl,@next/swc-linux-arm64-musl,15.5.25,False,,False,False,True,False
node_modules/@next/swc-linux-x64-gnu,@next/swc-linux-x64-gnu,15.5.25,False,,False,False,True,False
node_modules/@next/swc-linux-x64-musl,@next/swc-linux-x64-musl,15.5.25,False,,False,False,True,False
node_modules/@next/swc-win32-arm64-msvc,@next/swc-win32-arm64-msvc,15.5.25,False,,False,False,True,False
node_modules/@next/swc-win32-x64-msvc,@next/swc-win32-x64-msvc,15.5.25,False,,False,False,True,False
